naics_code,factor_value,factor_unit,with_margins,without_margins,source_year,useeio_code
112920,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112930,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
112990,1.935138148548342,kg CO2e/USD,1.935138148548342,1.935138148548342,2017,112A00
113110,0.4210976154777625,kg CO2e/USD,0.4210976154777625,0.4210976154777625,2017,113000
113210,0.4210976154777625,kg CO2e/USD,0.4210976154777625,0.4210976154777625,2017,113000
113310,0.4210976154777625,kg CO2e/USD,0.4210976154777625,0.4210976154777625,2017,113000
114111,0.3702356962903582,kg CO2e/USD,0.3702356962903582,0.3702356962903582,2017,114000
114112,0.3702356962903582,kg CO2e/USD,0.3702356962903582,0.3702356962903582,2017,114000
114119,0.3702356962903582,kg CO2e/USD,0.3702356962903582,0.3702356962903582,2017,114000
114210,0.3702356962903582,kg CO2e/USD,0.3702356962903582,0.3702356962903582,2017,114000
115111,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115112,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115113,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115114,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115115,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115116,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115210,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
115310,0.5844810611824639,kg CO2e/USD,0.5844810611824639,0.5844810611824639,2017,115000
311111,1.03369047282725,kg CO2e/USD,1.03369047282725,1.03369047282725,2017,311111
311119,1.195082524128647,kg CO2e/USD,1.195082524128647,1.195082524128647,2017,311119
311211,1.820546929895464,kg CO2e/USD,1.820546929895464,1.820546929895464,2017,311210
311212,1.820546929895464,kg CO2e/USD,1.820546929895464,1.820546929895464,2017,311210
311213,1.820546929895464,kg CO2e/USD,1.820546929895464,1.820546929895464,2017,311210
